SITEID,Lat,Lon
'450450015',34.8439,-82.41459
'450450016',34.75185,-82.2567
'450630008',34.05102,-81.15495
'450730001',34.80526,-83.2377
'450790007',34.09396,-80.9623
'450790019',33.99151,-81.02414
'450830011',34.95557,-81.9248
'460110003',44.3486,-96.8073
'460130003',45.4625,-98.48611
'460290002',44.89965,-97.1288
'460330132',43.55764,-103.48386
'460650003',44.37379,-100.28727
'460710001',43.74561,-101.94122
'460990008',43.54792,-96.70077
'461030020',44.0874,-103.27378
'461031001',44.07835,-103.22824
'461270001',42.75152,-96.70721
'470090011',35.76885,-83.94215
'470370023',36.17638,-86.7389
'470370036',36.11825,-86.87355
'470450004',36.05266,-89.38216
'470650031',34.99438,-85.24293
'470654002',35.05092,-85.29302
'470930028',35.9446,-84.03598
'470931013',35.98067,-83.92577
'470931017',35.97807,-83.95067
'470931020',36.01919,-83.87381
'470990002',35.11597,-87.46995
'471050108',35.74454,-84.31706
'471071002',35.45011,-84.59619
'471130006',35.65135,-88.80958
'471192007',35.65188,-87.0096
'471251009',36.51463,-87.32804
'471410005',36.1857,-85.49211
'471450004',35.93908,-84.5428
'471570047',35.16889,-90.02154
'471570075',35.1517,-89.85025
'471631007',36.53876,-82.5216
'471650007',36.29756,-86.65314
'480290032',29.51509,-98.62017
'480290059',29.27538,-98.31169
'480370004',33.42576,-94.0708
'480371031',33.43611,-94.07778
'480610006',25.89252,-97.49383
'481130050',32.77426,-96.79769
'481130069',32.82006,-96.86012
'481390016',32.48208,-97.0269
'481410037',31.76829,-106.50126
'481410044',31.76569,-106.45523
'481671034',29.25447,-94.86129
'482010024',29.90104,-95.32614
'482010058',29.7707,-95.03123
'482011035',29.73373,-95.25759
'482011039',29.67002,-95.12851
'482011052',29.81453,-95.38769
'482030002',32.66899,-94.16746
'482150043',26.22621,-98.29107
'482151046',26.28862,-98.15207
'483550032',27.8045,-97.43158
'483550034',27.81182,-97.4657
'484391002',32.80582,-97.35657
'484391006',32.75914,-97.34233
'484391053',32.66472,-97.33806
'484530020',30.48317,-97.8723
'484530021',30.26321,-97.71288
'490030003',41.49271,-112.01886
'490050007',41.84265,-111.8522
'490110004',40.90297,-111.88447
'490130002',40.29418,-110.00973
'490351001',40.70861,-112.09472
'490353006',40.73639,-111.87222
'490353010',40.78422,-111.931
'490353013',40.49639,-112.0363
'490450004',40.60053,-112.35341
'490471004',40.46471,-109.56147
'490490002',40.25361,-111.66306
'490494001',40.34139,-111.71361
'490495010',40.13634,-111.6605
'490530007',37.17912,-113.3051
'490570002',41.20632,-111.97552
'500030004',42.88759,-73.24984
'500070007',44.52839,-72.86884
'500070012',44.48028,-73.21444
'500070014',44.4762,-73.2106
'500210002',43.60806,-72.98278
'510030001',38.07657,-78.50397
'510130020',38.8577,-77.05922
'510360002',37.34438,-77.25925
'510410003',37.43467,-77.45118
'510410004',37.35748,-77.59355
'510590030',38.77335,-77.10468
'510590031',38.76835,-77.18347
'510690010',39.28102,-78.08157
'510870014',37.55652,-77.40027
'510870015',37.67132,-77.5664
'511071005',39.02473,-77.48925
'511611004',37.28342,-79.88452
'511650003',38.47753,-78.81952
'515200006',36.608,-82.1641
'516500008',37.10373,-76.38702
'516800015',37.33271,-79.21501
'517100024',36.85555,-76.30135
